"","RNAseq","samp16s","distance","pt.id.rna","pt.id.16s","specimen.type","paired"
"243","SL330198","31667",1,"P112359002","P112362735","Normal","FALSE"
"244","SL330198","31669",1,"P112359002","P112375831","Tumor","FALSE"
"245","SL330198","31671",0.916666666666667,"P112359002","P112380750","Normal","FALSE"
"246","SL330198","31673",0.945945945945946,"P112359002","P112380503","Tumor","FALSE"
"247","SL330198","31675",0.888888888888889,"P112359002","P112380503","Normal","FALSE"
"248","SL330198","31677",0.894736842105263,"P112359002","P112377885","Tumor","FALSE"
"249","SL330198","31679",0.818181818181818,"P112359002","P112381955","Tumor","FALSE"
"250","SL330198","31683",1,"P112359002",NA,NA,"CONTROL"
"251","SL330198","32111",1,"P112359002",NA,NA,"CONTROL"
"252","SL330198","32115",0.942857142857143,"P112359002","P112381968","Tumor","FALSE"
"253","SL330198","32117",0.851851851851852,"P112359002","P112381987","Normal","FALSE"
"254","SL330198","32376",0.902439024390244,"P112359002","P112377885","Normal","FALSE"
"255","SL330198","32388",0.862068965517241,"P112359002",NA,NA,"CONTROL"
"256","SL330198","32513",1,"P112359002","P112378162","Normal","FALSE"
"257","SL330198","32515",0.928571428571429,"P112359002","P112382412","Tumor","FALSE"
"258","SL330198","32517",1,"P112359002","P112381968","Normal","FALSE"
"259","SL330198","32527",0.857142857142857,"P112359002",NA,NA,"CONTROL"
"260","SL330198","32766",0.904761904761905,"P112359002","P112380750","Tumor","FALSE"
"261","SL330198","32768",1,"P112359002","P112381955","Normal","FALSE"
"262","SL330198","32778",0.826086956521739,"P112359002",NA,NA,"CONTROL"
"263","SL330198","33086",1,"P112359002","P112378162","Tumor","FALSE"
"264","SL330198","33088",0.916666666666667,"P112359002","P112381987","Tumor","FALSE"
"265","SL330198","33090",0.951219512195122,"P112359002","P112382873","Normal","FALSE"
"266","SL330230","30161",0.714285714285714,"P112358483","P112387186","Tumor","FALSE"
"267","SL330230","30163",0.719298245614035,"P112358483","P112387186","Normal","FALSE"
"268","SL330230","30165",0.804878048780488,"P112358483","P112418624","Tumor","FALSE"
"269","SL330230","30167",1,"P112358483","P112418624","Normal","FALSE"
"270","SL330230","30169",0.935483870967742,"P112358483","P112409746","Tumor","FALSE"
"271","SL330230","30171",0.75,"P112358483","P112409746","Normal","FALSE"
"272","SL330230","30173",0.942857142857143,"P112358483",NA,NA,"CONTROL"
"273","SL330230","30295",0.958333333333333,"P112358483","P112374066","Normal","FALSE"
"274","SL330230","30297",0.661538461538462,"P112358483","P112390908","Normal","FALSE"
"275","SL330230","30299",0.659574468085106,"P112358483","P112398333","Tumor","FALSE"
"276","SL330230","30301",0.757575757575758,"P112358483","P112398333","Normal","FALSE"
"277","SL330230","30303",0.722222222222222,"P112358483","P112404922","Tumor","FALSE"
"278","SL330230","30305",0.678571428571429,"P112358483","P112408270","Normal","FALSE"
"279","SL330230","30307",1,"P112358483",NA,NA,"CONTROL"
"280","SL330230","30820",0.92,"P112358483","P112374066","Tumor","FALSE"
"281","SL330230","30822",0.728813559322034,"P112358483","P112404267","Normal","FALSE"
"282","SL330230","30824",0.870967741935484,"P112358483","P112416452","Normal","FALSE"
"283","SL330230","30935",0.645161290322581,"P112358483","P112382873","Tumor","FALSE"
"284","SL330230","30937",0.584905660377358,"P112358483","P112390908","Tumor","FALSE"
"285","SL330230","30939",0.737704918032787,"P112358483","P112397962","Normal","FALSE"
"286","SL330230","30941",0.68,"P112358483","P112404922","Normal","FALSE"
"287","SL330230","30943",0.702127659574468,"P112358483","P112406974","Tumor","FALSE"
"288","SL330230","30945",0.782608695652174,"P112358483","P112406974","Normal","FALSE"
"289","SL330230","30947",0.652173913043478,"P112358483","P112416452","Tumor","FALSE"
"290","SL330230","31531",1,"P112358483",NA,NA,"CONTROL"
"291","SL330230","31537",0.551724137931034,"P112358483","P112364086","Tumor","FALSE"
"292","SL330230","31539",0.636363636363636,"P112358483","P112364086","Normal","FALSE"
"293","SL330230","31541",0.948717948717949,"P112358483","P112375831","Normal","FALSE"
"294","SL330230","31543",0.741935483870968,"P112358483","P112380828","Tumor","FALSE"
"295","SL330230","31545",0.758620689655172,"P112358483","P112380828","Normal","FALSE"
"296","SL330230","31667",0.68,"P112358483","P112362735","Normal","FALSE"
"297","SL330230","31669",0.772727272727273,"P112358483","P112375831","Tumor","FALSE"
"298","SL330230","31671",0.681818181818182,"P112358483","P112380750","Normal","FALSE"
"299","SL330230","31673",0.684210526315789,"P112358483","P112380503","Tumor","FALSE"
"300","SL330230","31675",0.642857142857143,"P112358483","P112380503","Normal","FALSE"
"301","SL330230","31677",0.655172413793103,"P112358483","P112377885","Tumor","FALSE"
"302","SL330230","31679",0.714285714285714,"P112358483","P112381955","Tumor","FALSE"
"303","SL330230","31683",0.875,"P112358483",NA,NA,"CONTROL"
"304","SL330230","32111",0.935483870967742,"P112358483",NA,NA,"CONTROL"
"305","SL330230","32115",0.672727272727273,"P112358483","P112381968","Tumor","FALSE"
"306","SL330230","32117",0.574468085106383,"P112358483","P112381987","Normal","FALSE"
"307","SL330230","32376",0.672131147540984,"P112358483","P112377885","Normal","FALSE"
"308","SL330230","32388",0.591836734693878,"P112358483",NA,NA,"CONTROL"
"309","SL330230","32513",0.767441860465116,"P112358483","P112378162","Normal","FALSE"
"310","SL330230","32515",0.666666666666667,"P112358483","P112382412","Tumor","FALSE"
"311","SL330230","32517",0.823529411764706,"P112358483","P112381968","Normal","FALSE"
"312","SL330230","32527",0.764705882352941,"P112358483",NA,NA,"CONTROL"
"313","SL330230","32766",0.707317073170732,"P112358483","P112380750","Tumor","FALSE"
"314","SL330230","32768",0.714285714285714,"P112358483","P112381955","Normal","FALSE"
"315","SL330230","32778",0.534883720930233,"P112358483",NA,NA,"CONTROL"
"316","SL330230","33086",0.666666666666667,"P112358483","P112378162","Tumor","FALSE"
"317","SL330230","33088",0.676470588235294,"P112358483","P112381987","Tumor","FALSE"
"318","SL330230","33090",0.672131147540984,"P112358483","P112382873","Normal","FALSE"
"319","SL330254","30161",0.543859649122807,"P112362278","P112387186","Tumor","FALSE"
"320","SL330254","30163",0.551724137931034,"P112362278","P112387186","Normal","FALSE"
"321","SL330254","30165",0.714285714285714,"P112362278","P112418624","Tumor","FALSE"
"322","SL330254","30167",1,"P112362278","P112418624","Normal","FALSE"
"323","SL330254","30169",0.9375,"P112362278","P112409746","Tumor","FALSE"
"324","SL330254","30171",0.804878048780488,"P112362278","P112409746","Normal","FALSE"
"325","SL330254","30173",0.944444444444444,"P112362278",NA,NA,"CONTROL"
"326","SL330254","30295",0.836734693877551,"P112362278","P112374066","Normal","FALSE"
"327","SL330254","30297",0.575757575757576,"P112362278","P112390908","Normal","FALSE"
"328","SL330254","30299",0.625,"P112362278","P112398333","Tumor","FALSE"
"329","SL330254","30301",0.764705882352941,"P112362278","P112398333","Normal","FALSE"
"330","SL330254","30303",0.72972972972973,"P112362278","P112404922","Tumor","FALSE"
"331","SL330254","30305",0.684210526315789,"P112362278","P112408270","Normal","FALSE"
"332","SL330254","30307",1,"P112362278",NA,NA,"CONTROL"
"333","SL330254","30820",0.803921568627451,"P112362278","P112374066","Tumor","FALSE"
"334","SL330254","30822",0.666666666666667,"P112362278","P112404267","Normal","FALSE"
"335","SL330254","30824",0.875,"P112362278","P112416452","Normal","FALSE"
"336","SL330254","30935",0.682539682539683,"P112362278","P112382873","Tumor","FALSE"
"337","SL330254","30937",0.481481481481481,"P112362278","P112390908","Tumor","FALSE"
"338","SL330254","30939",0.612903225806452,"P112362278","P112397962","Normal","FALSE"
"339","SL330254","30941",0.725490196078431,"P112362278","P112404922","Normal","FALSE"
"340","SL330254","30943",0.75,"P112362278","P112406974","Tumor","FALSE"
"341","SL330254","30945",0.787234042553192,"P112362278","P112406974","Normal","FALSE"
"342","SL330254","30947",0.659574468085106,"P112362278","P112416452","Tumor","FALSE"
"343","SL330254","31531",1,"P112362278",NA,NA,"CONTROL"
"344","SL330254","31537",0.525423728813559,"P112362278","P112364086","Tumor","FALSE"
"345","SL330254","31539",0.571428571428571,"P112362278","P112364086","Normal","FALSE"
"346","SL330254","31541",0.8,"P112362278","P112375831","Normal","FALSE"
"347","SL330254","31543",0.619047619047619,"P112362278","P112380828","Tumor","FALSE"
"348","SL330254","31545",0.627118644067797,"P112362278","P112380828","Normal","FALSE"
"349","SL330254","31667",0.725490196078431,"P112362278","P112362735","Normal","FALSE"
"350","SL330254","31669",0.688888888888889,"P112362278","P112375831","Tumor","FALSE"
"351","SL330254","31671",0.644444444444444,"P112362278","P112380750","Normal","FALSE"
"352","SL330254","31673",0.689655172413793,"P112362278","P112380503","Tumor","FALSE"
"353","SL330254","31675",0.719298245614035,"P112362278","P112380503","Normal","FALSE"
"354","SL330254","31677",0.661016949152542,"P112362278","P112377885","Tumor","FALSE"
"355","SL330254","31679",0.674418604651163,"P112362278","P112381955","Tumor","FALSE"
"356","SL330254","31683",0.878787878787879,"P112362278",NA,NA,"CONTROL"
"357","SL330254","32111",0.9375,"P112362278",NA,NA,"CONTROL"
"358","SL330254","32115",0.571428571428571,"P112362278","P112381968","Tumor","FALSE"
"359","SL330254","32117",0.625,"P112362278","P112381987","Normal","FALSE"
